split,class_id,relative_path,absolute_path,status,error,width,height,mode,format,size_bytes,brightness_mean,sharpness_score,sha256,duplicate_group_size,splits_in_group
Test,14,Test/03594.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\03594.png,ok,,45,44,RGB,PNG,3357,20.835693359375,31.852519989013672,0d6579102c3c1428117cc6e1e6cc9b7bd35af517c097365f4b2d09bbf754a6e6,2,"Test,Train"
Train,14,Train/14/00014_00023_00010.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00010.png,ok,,45,44,RGB,PNG,3357,20.835693359375,31.852519989013672,0d6579102c3c1428117cc6e1e6cc9b7bd35af517c097365f4b2d09bbf754a6e6,2,"Test,Train"
Test,14,Test/00666.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\00666.png,ok,,61,62,RGB,PNG,7456,28.538330078125,204.2178955078125,22c2ebb268a96cd989b933fb3270b82ada18c3c9d1f83b9e32355023ed2b9399,2,"Test,Train"
Train,14,Train/14/00014_00023_00019.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00019.png,ok,,61,62,RGB,PNG,7456,28.538330078125,204.2178955078125,22c2ebb268a96cd989b933fb3270b82ada18c3c9d1f83b9e32355023ed2b9399,2,"Test,Train"
Test,14,Test/04548.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\04548.png,ok,,40,43,RGB,PNG,2892,20.013671875,23.076351165771484,49f9139869352da0dc0ada91fc1c38eb2d47c96e1cca33a0830816623869f062,2,"Test,Train"
Train,14,Train/14/00014_00023_00006.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00006.png,ok,,40,43,RGB,PNG,2892,20.013671875,23.076351165771484,49f9139869352da0dc0ada91fc1c38eb2d47c96e1cca33a0830816623869f062,2,"Test,Train"
Test,14,Test/02291.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\02291.png,ok,,34,34,RGB,PNG,2118,24.903564453125,16.907482147216797,8a22106f2c2a896f7ae263290e6558d4a669569b9fa75ca7426579908a36200e,2,"Test,Train"
Train,14,Train/14/00014_00023_00000.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00000.png,ok,,34,34,RGB,PNG,2118,24.903564453125,16.907482147216797,8a22106f2c2a896f7ae263290e6558d4a669569b9fa75ca7426579908a36200e,2,"Test,Train"
Test,14,Test/11906.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\11906.png,ok,,39,38,RGB,PNG,2518,20.85986328125,15.77924919128418,ab3283724c2225a31f394979a2988e725a726b37f8ea4f80d02a138a9df435eb,2,"Test,Train"
Train,14,Train/14/00014_00023_00003.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00003.png,ok,,39,38,RGB,PNG,2518,20.85986328125,15.77924919128418,ab3283724c2225a31f394979a2988e725a726b37f8ea4f80d02a138a9df435eb,2,"Test,Train"
Test,14,Test/09384.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\09384.png,ok,,42,43,RGB,PNG,2971,19.924072265625,21.797943115234375,b2d7d0042534146cc0bf99d58d8fa30e249d261c0b63f75f737abf85637669a3,2,"Test,Train"
Train,14,Train/14/00014_00023_00007.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00007.png,ok,,42,43,RGB,PNG,2971,19.924072265625,21.797943115234375,b2d7d0042534146cc0bf99d58d8fa30e249d261c0b63f75f737abf85637669a3,2,"Test,Train"
Test,14,Test/03546.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\03546.png,ok,,49,51,RGB,PNG,4865,29.3056640625,137.55247497558594,b91e2616cf4a5d164cf2897f8aae35ea0254d3d42bd282489e40da5de27c9a7c,2,"Test,Train"
Train,14,Train/14/00014_00023_00013.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00013.png,ok,,49,51,RGB,PNG,4865,29.3056640625,137.55247497558594,b91e2616cf4a5d164cf2897f8aae35ea0254d3d42bd282489e40da5de27c9a7c,2,"Test,Train"
Test,14,Test/09575.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Test\09575.png,ok,,54,55,RGB,PNG,5818,28.359619140625,155.5877685546875,e52b9d0ee291b0ceac761d932fc848481def8f42ac84dac0d1e5c3f9325800b1,2,"Test,Train"
Train,14,Train/14/00014_00023_00016.png,D:\SoftwareEngineering\Machine Learning\Traffic_Sign_Project\Datasets\traffic_signs\Train\14\00014_00023_00016.png,ok,,54,55,RGB,PNG,5818,28.359619140625,155.5877685546875,e52b9d0ee291b0ceac761d932fc848481def8f42ac84dac0d1e5c3f9325800b1,2,"Test,Train"
